NO,UNIT CODE,CATEGORY,UNIT TYPE,UNIT MODEL,UNIT CATEGORY,SECTION,VENDOR,SERIAL NUMBER,HM/KM,Last Refueling,Std Ratio,PARAMETER
1639,GDM-01,DRILLING MACHINE,DRILLING BLASTING,MD6200,GAM SUPPORT,HE,GAM HE,,"4,323.3",3-Aug-25,  ,HM
1642,KAI LV-001,LIGHT VEHICLE,LV,PAJERO SPORT 2.5-E GLX,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 1582 KO,"182,157.0",8-Aug-25, 7.00 ,ODD
1643,TU-125,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,HE,TRACKINDO,KT 8061 NQ,  ,, 7.00 ,ODD
1644,KEX-32,EXCAVATOR,EX 400,PC400-8LC,MS HE,OPERATION RENTAL,KAI RENTAL,,"18,890.0",10-Aug-25, 31.64 ,HM
1645,LV 304,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,STOCKPILE,BELFANO NAHLA UTAMA,KT 8144 YT,"74,831.0",6-Aug-25, 7.00 ,ODD
1647,LV 208,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,HSE,BELFANO NAHLA UTAMA,KT 8095 YT,"195,337.0",6-Aug-25, 7.00 ,ODD
1648,LV 524,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,ROAD & FABRICATION,BELFANO NAHLA UTAMA,KT 8098 YT,"186,518.0",10-Aug-25, 7.00 ,ODD
1649,HARMONY 50,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1650,DTVV-182,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"515,326.9",9-Aug-25, 2.00 ,ODD
1651,DTVV-183,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"437,387.3",9-Aug-25, 2.00 ,ODD
1652,DTVV-185,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,  ,, 2.00 ,ODD
1653,DTVV-186,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,  ,, 2.00 ,ODD
1654,DTVV-187,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"547,703.4",9-Aug-25, 2.00 ,ODD
1656,LV 816,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,BLASTING,BELFANO NAHLA UTAMA,KT 8807 YS,  ,, 7.00 ,ODD
1659,KAI AB-35,LIGHT VEHICLE,AMBULANCE,TRITON 2.5 DC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 9953 KA,"16,210.0",8-Aug-25, 7.00 ,ODD
1662,KFT-03,FUEL TRUCK,FT,HINO 500 FT,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"18,822.0",10-Aug-25, 7.80 ,HM
1666,GPE 902,DUMP TRUCK,DT,FMX 400-6X4,MS HE,OPERATION RENTAL,GPE RENTAL,YV2XSG0D4HB824934,"318,003.4",, 0.90 ,ODD
1667,BNU-02,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 8284 YR,"134,856.0",9-Aug-25, 7.00 ,ODD
1668,SMP DZ-46,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J19362,"20,963.3",30-Jul-25, 23.00 ,HM
1672,LV 835,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GEOLOGY,DAUN BUAH,KT 8810 DK,"172,174.0",5-Aug-25, 7.00 ,ODD
1673,LV 525,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,DAUN BUAH,KT 8811 DK,"174,938.0",9-Aug-25, 7.00 ,ODD
1674,SMP LV-23,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,B 9737 BAW,"109,242.0",8-Aug-25, 7.00 ,ODD
1677,GBC 826,COMPACTOR,COMPACTOR,BW211-D40,MS HE,OPERATION RENTAL,GPE RENTAL,  ,"11,663.0",10-Aug-25, 9.50 ,HM
1678,GCM 01,COMPRESSOR,COMPRESSOR,XATS68,GAM SUPPORT,HE,GAM HE,,  ,,  ,HM
1679,GTLA 878,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,RS2111041,"1,235.9",31-Jul-25,  ,HM
1680,GTLA 879,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,RS2111042,"13,951.2",10-Aug-25,  ,HM
1682,GTLA 881,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,RS2111050,"12,213.7",,  ,HM
1684,SMP LV-35,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,,"209,298.0",9-Aug-25, 7.00 ,ODD
1685,SMP DZ-47,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J19386,147.3,8-Aug-25, 23.00 ,HM
1688,GPE LV 801,LIGHT VEHICLE,LV,FORTUNER VRZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,  ,  ,, 7.00 ,ODD
1695,LV 108,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8867 DK,"144,194.0",6-Aug-25, 7.00 ,ODD
1696,LV 407,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,DAUN BUAH,KT 8865 DK,"129,287.0",7-Aug-25, 7.00 ,ODD
1697,LV 413,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,DAUN BUAH,KT 8868 DK,"64,452.0",10-Aug-25, 7.00 ,ODD
1698,LV 834,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,BLASTING,DAUN BUAH,KT 8869 DK,"147,952.0",8-Aug-25, 7.00 ,ODD
1701,TB DUTA AYU 358,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1703,SMP DZ-48,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J19458,"19,532.3",10-Aug-25, 23.00 ,HM
1704,SMP EX-66,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,SMP RENTAL,200183,"16,417.3",26-May-25, 31.64 ,HM
1705,AMB DM-01,DRILLING MACHINE,DRILLING BLASTING,ECD45,GAM SUPPORT,BLASTING,ANHARU MITRA BAROKAH,,"7,790.0",5-Aug-25,  ,HM
1706,AMB LV-01,LIGHT VEHICLE,LV,HILUX DSL,GAM SUPPORT,BLASTING,ANHARU MITRA BAROKAH,KT 8232 YV,"67,194.0",10-Aug-25, 7.00 ,ODD
1707,G-25,GENSET,GENSET,500 KVA,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1708,G-27,GENSET,GENSET,300 KVA,GAM SUPPORT,FACILITY,GAM FACILITY,,362.1,,  ,HM
1709,G-28,GENSET,GENSET,20 KVA,GAM SUPPORT,FACILITY,GAM FACILITY,,"1,954.0",28-Jul-25,  ,HM
1710,G-26,GENSET,GENSET,500 KVA,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1711,KEX-33,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"15,237.8",10-Aug-25, 14.87 ,HM
1713,KCP-09,COMPACTOR,COMPACTOR,BW211-D40,MS HE,ROAD & FABRICATION,KAI RENTAL,,"13,392.0",17-Jul-25, 9.50 ,HM
1719,LV 545,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,ADMIN PRODUCTION,DAUN BUAH,KT 8771 DK,"166,286.0",29-Jul-25, 7.00 ,ODD
1720,LV 546,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,ADMIN PRODUCTION,DAUN BUAH,KT 8772 DK,"274,034.0",28-Jul-25, 7.00 ,ODD
1721,GGD-03,MOTOR GRADER,MG,GD825A-2,MS HE,HE,MGE RENTAL,,"14,808.0",10-Aug-25, 30.00 ,HM
1722,GWA-04,WHEEL LOADER,WA,WA600-6R,MS HE,OPERATION RENTAL,MGE RENTAL,,"18,222.2",31-Jul-25, 40.00 ,HM
1724,GEH-861,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HHJACE1V00200172,"16,764.8",10-Aug-25, 31.64 ,HM
1726,GEH-867,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2A00052377,"18,281.8",31-Jul-25, 22.15 ,HM
1727,GEH-862,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HHJACE1V00200173,"15,594.0",1-Aug-25, 31.64 ,HM
1728,SMP ST-03,SERVICE TRUCK,SERVICE TRUCK,COLDISEL FE74HD K 4X2M,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,13111,"80,485.0",30-Jul-25, 4.75 ,ODD
1730,SMP GN-13,GENSET,GENSET,343 KW,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,,  ,5-Aug-25,  ,HM
1731,GEH-863,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2T00052368,"3,377.5",10-Aug-25, 22.15 ,HM
1733,SMP WTH-07,WATER TRUCK,WT CONTRACT,HINO 500 WT,MS SUPPORT,ROAD & FABRICATION,SMP RENTAL,35096,  ,, 7.80 ,HM
1734,PMVV-082,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"466,338.2",9-Aug-25, 1.00 ,ODD
1735,PMVV-083,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"423,220.4",24-Jul-25, 1.00 ,ODD
1736,PMVV-085,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"441,543.6",7-Aug-25, 1.00 ,ODD
1739,G-20,GENSET,GENSET,HT 20 P,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
1740,G-21,GENSET,GENSET,3516 C,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1741,G-22,GENSET,GENSET,HT 20 Y,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1742,HARMONY 36,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1743,GGD-04,MOTOR GRADER,MG,GD825A-2,MS HE,HE,MGE RENTAL,,"17,042.8",30-Jul-25, 30.00 ,HM
1744,GDZ-04,BULLDOZER,D155,D155A-6,MS HE,OPERATION RENTAL,MGE RENTAL,,"21,219.0",31-Jul-25, 40.00 ,HM
1745,GDZ-05,BULLDOZER,D155,D155A-6,MS HE,OPERATION RENTAL,MGE RENTAL,,"20,548.0",10-Aug-25, 40.00 ,HM
1746,SMP WTH-08,WATER TRUCK,WT CONTRACT,HINO 500 WT,MS SUPPORT,STOCKPILE,SMP RENTAL,12477,"9,652.1",8-Aug-25, 7.80 ,HM
1747,SMP WTH-09,WATER TRUCK,WT CONTRACT,HINO 500 WT,MS SUPPORT,ROAD & FABRICATION,SMP RENTAL,12473,"10,091.9",10-Aug-25, 7.80 ,HM
1748,SMP WTH-10,WATER TRUCK,WT CONTRACT,HINO 500 WT,MS SUPPORT,ROAD & FABRICATION,SMP RENTAL,12474,"12,503.0",9-Aug-25, 7.80 ,HM
1753,GTLD-882,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC342,"7,063.7",10-Aug-25,  ,HM
1754,GTLD-883,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC343,"32,508.0",9-Aug-25,  ,HM
1755,GTLD-885,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC344,"3,381.2",6-Aug-25,  ,HM
1756,GTLD-886,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC345,"10,759.3",8-Aug-25,  ,HM
1757,GTLD-887,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC346,"3,796.5",8-Aug-25,  ,HM
1758,GTLD-888,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,CCCELSC347,"10,449.0",19-Jul-25,  ,HM
1760,SMP EX-67,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,STOCKPILE,SMP RENTAL,200142,"21,749.7",10-Aug-25, 31.64 ,HM
1761,SMP EX-68,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,STOCKPILE,SMP RENTAL,200175,  ,, 31.64 ,HM
1762,LV 703,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,PROJECT,BELFANO NAHLA UTAMA,KT 8146 YT,"145,597.0",5-Aug-25, 7.00 ,ODD
1763,LV 536,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,BELFANO NAHLA UTAMA,KT 8097 YT,"205,113.0",12-Jul-25, 7.00 ,ODD
1765,TRANS 22,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1766,KAI LV 037,LIGHT VEHICLE,LV,MOBEN DOUBLE CABIN,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8307 YW,"114,997.0",28-Jul-25, 7.00 ,ODD
1771,KAI LV 038,LIGHT VEHICLE,LV,MOBEN DOUBLE CABIN,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 8301 YW,"219,371.0",, 7.00 ,ODD
1772,WMR 07,WELDING MACHINE,WELDING MACHINE,BIG BLUE 602D,GAM SUPPORT,ROAD & FABRICATION,GAM R&F,,  ,,  ,HM
1773,WMR 21,WELDING MACHINE,WELDING MACHINE,BIG BLUE 602X,GAM SUPPORT,ROAD & FABRICATION,GAM R&F,,  ,,  ,HM
1774,SMP EX-69,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,SMP RENTAL,200176,"17,515.8",23-May-25, 31.64 ,HM
1775,SMP EX-70,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,STOCKPILE,SMP RENTAL,200185,"21,259.5",9-Aug-25, 31.64 ,HM
1776,AA-01,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,PROJECT,AMAN ABADI,,  ,, 7.00 ,ODD
1777,AA-03,MINI BUS,MINI BUS,ELF NLR 55,GAM SUPPORT,PROJECT,AMAN ABADI,,  ,, 6.34 ,ODD
1778,LV 310,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,SHIPPING,BELFANO NAHLA UTAMA,KT 8542 YW,"64,285.0",6-Aug-25, 7.00 ,ODD
1779,LV 520,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,BELFANO NAHLA UTAMA,KT 8545 YW,"194,399.0",10-Aug-25, 7.00 ,ODD
1780,LV 213,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,HSE,BELFANO NAHLA UTAMA,KT 8544 YW,"168,994.0",8-Aug-25, 7.00 ,ODD
1781,MLD 001,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,PROJECT,MILDA,,  ,, 7.00 ,ODD
1782,MLD 003,MINI BUS,MINI BUS,ELF NLR 55,GAM SUPPORT,PROJECT,MILDA,,  ,, 6.34 ,ODD
1784,KLT-28,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"7,180.3",31-Jul-25,  ,HM
1785,KLT-29,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"9,467.7",31-Jul-25,  ,HM
1786,KLT-30,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"11,312.2",6-Aug-25,  ,HM
1787,KLT-31,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"10,158.6",23-Jul-25,  ,HM
1788,KLT-32,LIGHTING TOWER,TL,LIGHT SOURCE COMPACT 60 HZ,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"12,774.1",8-Aug-25,  ,HM
1789,SMP DZ-49,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J19762,"18,078.0",10-Aug-25, 23.00 ,HM
1790,SMP WTH-11,WATER TRUCK,WT SUPPORT,HINO 500,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,28806,  ,, 1.40 ,ODD
1791,KAI WT-15,WATER TRUCK,WT CONTRACT,FMX 440-6X4 WT,MS SUPPORT,ROAD & FABRICATION,KAI RENTAL,,"7,970.0",9-Aug-25, 17.20 ,HM
1792,DP 001,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,PROJECT,DIRGANTARA PERMAI,KT 8522 RI,  ,, 7.00 ,ODD
1793,G-25,GENSET,GENSET,C550D5E,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
1794,G-26,GENSET,GENSET,C550D5E,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
1795,GDKM-021,MOTOR GRADER,MG,GD755-5R,MS HE,OPERATION RENTAL,KAI RENTAL,,"11,870.9",10-Aug-25, 18.00 ,HM
1796,G-29,GENSET,GENSET,C550D5E,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1797,G-30,GENSET,GENSET,C550D5E,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1798,GWE-01,WHEEL EXCAVATOR,WHEEL EXCAVATOR,ROBEX 210W-9S,MS HE,HE,MGE RENTAL,,"15,192.5",6-Aug-25, 11.60 ,HM
1799,KAI WT-12,WATER TRUCK,WT CONTRACT,FMX 440-6X4 WT,MS SUPPORT,ROAD & FABRICATION,KAI RENTAL,,"10,534.0",9-Aug-25, 17.20 ,HM
1800,MNK LV-02,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,BLASTING,KMB,DA 8540 JG,  ,, 7.00 ,ODD
1801,GBK 866,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,GPE RENTAL,J19765,"14,640.2",9-Aug-25, 23.00 ,HM
1802,GDZ-06,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,MGE RENTAL,,"20,482.2",31-Jul-25, 23.00 ,HM
1803,KDT-48,DUMP TRUCK,DT,FMX 400-6X4,MS HE,OPERATION RENTAL,KAI RENTAL,,"121,346.5",30-Jul-25, 0.90 ,ODD
1804,KDT-49,DUMP TRUCK,DT,FMX 400-6X4,MS HE,OPERATION RENTAL,KAI RENTAL,,"123,679.6",10-Aug-25, 0.90 ,ODD
1806,KDT-51,DUMP TRUCK,DT,FMX 400-6X4,MS HE,OPERATION RENTAL,KAI RENTAL,,"132,477.3",30-Jul-25, 0.90 ,ODD
1807,KDT-52,DUMP TRUCK,DT,FMX 400-6X4,MS HE,OPERATION RENTAL,KAI RENTAL,,"136,837.5",10-Aug-25, 0.90 ,ODD
1809,GWA-05,WHEEL LOADER,WA,WA600-6R,MS HE,OPERATION RENTAL,MGE RENTAL,,"16,615.7",31-Jul-25, 40.00 ,HM
1810,KAI LV 039,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 8240 YR,"173,753.0",9-Aug-25, 7.00 ,ODD
1812,SMP LV-01,LIGHT VEHICLE,LV,FORTUNER VRZ,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,B 1189 SMP,"149,266.0",15-Jul-25, 7.00 ,ODD
1813,TRANS 16,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1814,BI 004,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,PROJECT,BANTI INDONESIA,,  ,, 7.00 ,ODD
1816,LV 704,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,PROJECT,DAUN BUAH,KT 8705 DK,"177,432.0",10-Aug-25, 7.00 ,ODD
1817,LV 902,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,DAUN BUAH,KT 8707 DK,"65,782.0",8-Aug-25, 7.00 ,ODD
1818,LV 526 ,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,ADMIN PRODUCTION,DAUN BUAH,KT 8708 DK,"141,745.0",5-Aug-25, 7.00 ,ODD
1819,LV 511,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,DAUN BUAH,KT 8706 DK,"118,792.0",7-Aug-25, 7.00 ,ODD
1820,SMP MDT-30,DUMP TRUCK,DT,HINO 500,MS HE,STOCKPILE,SMP RENTAL,39460,"99,810.0",3-Aug-25, 1.40 ,ODD
1821,SMP MDT-31,DUMP TRUCK,DT,HINO 500,MS HE,STOCKPILE,SMP RENTAL,39461,"101,799.0",10-Aug-25, 1.40 ,ODD
1822,SMP MDT-32,DUMP TRUCK,DT,HINO 500,MS HE,STOCKPILE,SMP RENTAL,39462,"102,638.0",10-Aug-25, 1.40 ,ODD
1823,SMP MDT-33,DUMP TRUCK,DT,HINO 500,MS HE,STOCKPILE,SMP RENTAL,39481,"98,366.0",10-Aug-25, 1.40 ,ODD
1824,SMP MDT-35,DUMP TRUCK,DT,HINO 500,MS HE,STOCKPILE,SMP RENTAL,39425,"97,872.0",10-Aug-25, 1.40 ,ODD
1825,LV 220,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,HSE,BELFANO NAHLA UTAMA,KT 8317 YY,"135,014.0",7-Aug-25, 7.00 ,ODD
1826,GEH-873,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2T00052497,"17,517.9",8-Aug-25, 22.15 ,HM
1827,TK 3435,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,GA,TRANSKON JAYA,KT 8671 YK,  ,, 7.00 ,ODD
1830,GWTH 822,WATER TRUCK,WT CONTRACT,FM 260 JD WT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE39327,"10,308.8",10-Aug-25, 7.80 ,HM
1831,GWTH 823,WATER TRUCK,WT CONTRACT,FM 260 JD WT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE39330,"1,645.7",9-Aug-25, 7.80 ,HM
1832,GWTH 825,WATER TRUCK,WT CONTRACT,FM 260 JD WT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE39331,"10,463.3",8-Aug-25, 7.80 ,HM
1833,POMPA TANK 04,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,23-Jul-25,  ,HM
1834,POMPA TANK 06,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,10-Aug-25,  ,HM
1835,POMPA TANK 07,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,9-Aug-25,  ,HM
1836,POMPA TANK 08,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,13-Jul-25,  ,HM
1837, TANK GENSET POMPA,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,DEWATERING,GAM DEWATERING,,  ,25-Jul-25,  ,HM
1838,POMPA TANK 10,BABY TANK,BABY TANK,CAP 3000 L,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,28-Jul-25,  ,HM
1839,SMP DT-860,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,JPCZM30GXNT032910,"530,289.0",29-Jul-25, 2.00 ,ODD
1840,SMP DT-861,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,JPCZM30G1NT033217,"1,088,943.0",7-Aug-25, 2.00 ,ODD
1844,KDZ-13,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,KAI RENTAL,,"12,859.5",10-Aug-25, 23.00 ,HM
1845,KAI LV-040,LIGHT VEHICLE,LV,MOBEN DOUBLE CABIN,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8513 YY,  ,, 7.00 ,ODD
1846,KAI LV-041,LIGHT VEHICLE,LV,MOBEN DOUBLE CABIN,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8512 YY,  ,, 7.00 ,ODD
1847,CM 01,COMPRESSOR,COMPRESSOR,XAHS38,GAM SUPPORT,FACILITY,GAM FACILITY,,"11,114.0",,  ,HM
1848,HARMONY XIII,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1849,HARMONY XXX,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1851,PMVV-091,TRAILER TRUCK,TRAILER TRUCK,FH 16,HAULING,OPERATION HAULING,KAI HAULING,,"379,254.0",9-Aug-25, 1.00 ,ODD
1852,PMVV-092,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"411,712.4",9-Aug-25, 1.00 ,ODD
1853,SMP MDT-36,DUMP TRUCK,DT,HINO 500,MS HE,OPERATION RENTAL,SMP RENTAL,39224,"92,135.0",10-Aug-25, 1.40 ,ODD
1854,SMP MDT-37,DUMP TRUCK,DT,HINO 500,MS HE,OPERATION RENTAL,SMP RENTAL,39257,"94,093.0",10-Aug-25, 1.40 ,ODD
1855,GAM B-26,MINI BUS,MINI BUS,ELF NLR 55,GAM SUPPORT,GA,GAM GA,KT 7668 K,  ,, 6.34 ,ODD
1856,GFTH-813,FUEL TRUCK,FT,FM 280 JD FT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN2NJX10647,  ,, 7.80 ,HM
1857,SMP GN-15,GENSET,GENSET,HT 300KVA,HAULING SUPPORT,OPERATION HAULING,SMP HAULING,,  ,5-Aug-25,  ,HM
1858,LV 124,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 8874 YY,"148,579.0",6-Aug-25, 7.00 ,ODD
1859,LV 508,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,BELFANO NAHLA UTAMA,KT 8871 YY,"120,182.0",9-Aug-25, 7.00 ,ODD
1860,KDZ-14,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,KAI RENTAL,,516.8,10-Aug-25, 23.00 ,HM
